ticker,name_en,name_ar
4191.SR,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,شركة عبد الله سعد محمد أبو معطي للمكتبات
4200.SR,Aldrees Petroleum and Transport Services Co.,شركة الدريس للخدمات البترولية والنقليات
4210.SR,Saudi Research and Marketing Group,المجموعة السعودية للأبحاث والتسويق
4220.SR,Emaar The Economic City,إعمار المدينة الاقتصادية
4230.SR,Red Sea International Co.,شركة البحر الأحمر العالمية
4240.SR,Fawaz Abdulaziz Alhokair Co.,شركة فواز عبد العزيز الحكير وشركاه
4250.SR,Jabal Omar Development Co.,شركة جبل عمر للتطوير
4260.SR,United International Transportation Co.,الشركة المتحدة الدولية للمواصلات
4270.SR,Saudi Printing and Packaging Co.,الشركة السعودية للطباعة والتغليف
4280.SR,Kingdom Holding Co.,شركة المملكة القابضة
4290.SR,Alkhaleej Training and Education Co.,شركة الخليج للتدريب والتعليم
4291.SR,National Company for Learning and Education,الشركة الوطنية للتربية والتعليم
4292.SR,Ataa Educational Co.,شركة عطاء التعليمية
4300.SR,Dar Alarkan Real Estate Development Co.,شركة دار الأركان للتطوير العقاري
4310.SR,Knowledge Economic City,مدينة المعرفة الاقتصادية
4320.SR,Alandalus Property Co.,شركة الأندلس العقارية
4321.SR,Arabian Centres Co.,شركة المراكز العربية
4330.SR,Riyad REIT Fund,صندوق الرياض ريت
4331.SR,AlJazira Mawten REIT Fund,صندوق بنك الجزيرة موطن ريت
4332.SR,Jadwa REIT Al Haramain Fund,صندوق جدوى ريت الحرمين
4333.SR,Taleem REIT Fund,صندوق تعليم ريت
4334.SR,AL Maather REIT Fund,صندوق المعذر ريت
4335.SR,Musharaka REIT Fund,صندوق مشاركة ريت
4336.SR,Mulkia Gulf Real Estate REIT,صندوق ملكية عقارات الخليج ريت
4337.SR,Al Mashaar REIT,صندوق المشاعر ريت
4338.SR,AlAhli REIT Fund 1,صندوق الأهلي ريت 1
4339.SR,Derayah REIT Fund,صندوق دراية ريت
4340.SR,Al Rajhi REIT Fund,صندوق الراجحي ريت
4342.SR,Jadwa REIT Saudi Fund,صندوق جدوى ريت السعودية
4344.SR,SEDCO Capital REIT Fund,صندوق سدكو كابيتال ريت
4345.SR,Swicorp Wabel REIT Fund,صندوق سويكورب وابل ريت
4346.SR,MEFIC REIT Fund,صندوق ميفك ريت
4347.SR,Bonyan REIT Fund,صندوق بنيان ريت
4348.SR,Alkhabeer REIT Fund,صندوق الخبير ريت
5110.SR,Saudi Electricity Co.,الشركة السعودية للكهرباء
6001.SR,Halwani Bros. Co.,شركة حلواني إخوان
6002.SR,Herfy Food Services Co.,شركة هرفي للخدمات الغذائية
6004.SR,Saudi Airlines Catering Co.,شركة الخطوط السعودية للتموين
6010.SR,National Agricultural Development Co.,الشركة الوطنية للتنمية الزراعية
6012.SR,Raydan Food Co.,شركة ريدان الغذائية
6020.SR,Al Gassim Investment Holding Co.,شركة القصيم القابضة للاستثمار
6040.SR,Tabuk Agricultural Development Co.,شركة تبوك للتنمية الزراعية
6050.SR,Saudi Fisheries Co.,الشركة السعودية للأسماك
6060.SR,Ash-Sharqiyah Development Co.,شركة الشرقية للتنمية
6070.SR,Al-Jouf Agricultural Development Co.,شركة الجوف الزراعية
6090.SR,Jazan Energy and Development Co.,شركة جازان للطاقة والتنمية
7010.SR,Saudi Telecom Co.,شركة الإتصالات السعودية
7020.SR,Etihad Etisalat Co.,شركة اتحاد إتصالات
7030.SR,Mobile Telecommunication Company Saudi Arabia,شركة الاتصالات المتنقلة السعودية
7040.SR,Etihad Atheeb Telecommunication Co.,شركة اتحاد عذيب للإتصالات
7200.SR,Al Moammar Information Systems Co.,شركة المعمر لأنظمة المعلومات
7201.SR,Arab Sea Information System Co.,شركة بحر العرب لأنظمة المعلومات
8010.SR,The Company for Cooperative Insurance,الشركة التعاونية للتأمين
8012.SR,Aljazira Takaful Taawuni Co.,شركة الجزيرة تكافل تعاوني
8020.SR,Malath Cooperative Insurance Co.,شركة ملاذ للتأمين التعاوني
8030.SR,The Mediterranean and Gulf Insurance and Reinsurance Co.,شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني
8040.SR,Allianz Saudi Fransi Cooperative Insurance Co.,شركة أليانز السعودي الفرنسي للتأمين التعاوني
8050.SR,Salama Cooperative Insurance Co.,شركة سلامة للتأمين التعاوني
8060.SR,Walaa Cooperative Insurance Co.,شركة ولاء للتأمين التعاوني
8070.SR,Arabian Shield Cooperative Insurance Co.,شركة الدرع العربي للتأمين التعاوني
8100.SR,Saudi Arabian Cooperative Insurance Co.,الشركة العربية السعودية للتأمين التعاوني
8120.SR,Gulf Union Cooperative Insurance Co.,شركة اتحاد الخليج للتأمين التعاوني
8150.SR,Allied Cooperative Insurance Group,المجموعة المتحدة للتأمين التعاوني
8160.SR,Arabia Insurance Cooperative Co.,شركة التأمين العربية التعاونية
8170.SR,Al-Etihad Cooperative Insurance Co.,شركة الاتحاد للتأمين التعاوني
8180.SR,Al Sagr Cooperative Insurance Co.,شركة الصقر للتأمين التعاوني
8190.SR,United Cooperative Assurance Co.,الشركة المتحدة للتأمين التعاوني
8200.SR,Saudi Re for Cooperative Reinsurance Co.,الشركة السعودية لإعادة التأمين التعاوني
8210.SR,Bupa Arabia for Cooperative Insurance Co.,شركة بوبا العربية للتأمين التعاوني
8230.SR,Al-Rajhi Company for Cooperative Insurance,شركة الراجحي للتأمين التعاوني
8240.SR,CHUBB Arabia Cooperative Insurance Co.,شركة تشب العربية للتأمين التعاوني
8250.SR,AXA Cooperative Insurance Co.,شركة أكسا للتأمين التعاوني
8260.SR,Gulf General Cooperative Insurance Co.,الشركة الخليجية العامة للتأمين التعاوني
8280.SR,Al Alamiya for Cooperative Insurance Co.,الشركة العالمية للتأمين التعاوني
8300.SR,Wataniya Insurance Co.,الشركة الوطنية للتأمين
8310.SR,Amana Cooperative Insurance Co.,شركة أمانة للتأمين التعاوني
8311.SR,Saudi Enaya Cooperative Insurance Co.,شركة عناية السعودية للتأمين التعاوني
